Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,Citizens for European Development of Bulgaria,Bulgarian Socialist Party,United Patriots,IMRO – Bulgarian National Movement,National Front for the Salvation of Bulgaria,Attack,Alternative for Bulgarian Revival,Movement for Rights and Freedoms,Volya,Reformist Bloc,Democratic Bulgaria,Democrats for a Strong Bulgaria,"Yes, Bulgaria!",Other
Mediana,,2019-05-02,2019-05-07,European,1008,Provided,Not Available,0.1%,30%,32%,Not Available,5%,4%,3%,4%,11%,5%,Not Available,3%,Not Available,Not Available,Not Available
Alpha Research,,2019-04-20,2019-04-30,European,1015,Provided,Not Available,0.1%,33%,33%,Not Available,6%,2%,21%,1.2%,10%,2%,Not Available,5%,Not Available,Not Available,Not Available
Market LINKS,,2019-04-12,2019-04-22,European,1049,Provided,Not Available,0.1%,35.4%,35.9%,Not Available,5.7%,Not Available,Not Available,Not Available,7.0%,1.9%,Not Available,5.3%,Not Available,Not Available,8.8%
Trend,,2019-04-05,2019-04-12,European,1008,Provided,Not Available,0.1%,30.5%,31.3%,Not Available,5.5%,1.3%,2.0%,1.3%,12.7%,3.6%,Not Available,4.3%,Not Available,Not Available,7.5%
Gallup,,2019-04-05,2019-04-11,European,1015,Provided,Not Available,0.1%,31.0%,32.1%,Not Available,5.0%,1.4%,1.9%,1.5%,11.1%,3.5%,2%,4.5%,Not Available,Not Available,8.0%
Alpha Research,,2019-03-22,2019-03-26,European,1011,Provided,Not Available,0.1%,33.9%,33.4%,Not Available,4.1%,2.2%,2.1%,1.2%,10.6%,1.9%,Not Available,5.1%,Not Available,Not Available,5.5%
Trend,,2019-03-06,2019-03-13,European,1005,Provided,Not Available,0.1%,33.6%,30.4%,Not Available,4.4%,1.8%,2.3%,Not Available,12.1%,3.2%,Not Available,4.4%,Not Available,Not Available,7.8%
Sova Harris,,2019-03-06,2019-03-11,European,1000,Provided,Not Available,0.1%,38.2%,30.6%,Not Available,3.0%,1.3%,3.0%,1.3%,11.5%,3.3%,Not Available,3.2%,Not Available,Not Available,4.6%
AFIS,,2019-02-22,2019-02-28,European,1010,Provided,Not Available,0.1%,31.6%,37.5%,7.3%,Not Available,Not Available,Not Available,Not Available,13.0%,Not Available,Not Available,1.6%,Not Available,Not Available,9.0%
Exacta,,2019-02-19,2019-02-28,European,1000,Provided,Not Available,0.1%,35.1%,29.0%,9.6%,Not Available,Not Available,Not Available,1.5%,10.3%,1.5%,Not Available,3.7%,Not Available,Not Available,9.3%
Market LINKS,,2019-02-15,2019-02-25,European,1018,Provided,Not Available,0.1%,36.2%,29.7%,7.5%,Not Available,Not Available,Not Available,Not Available,8.3%,2.5%,Not Available,6.6%,Not Available,Not Available,9.2%
Trend,,2019-02-05,2019-02-13,European,1007,Provided,Not Available,0.1%,33.6%,31.2%,6.8%,Not Available,Not Available,Not Available,Not Available,11.7%,2.7%,Not Available,4.1%,Not Available,Not Available,9.9%
Sova Harris,,2019-01-19,2019-01-21,European,985,Provided,Not Available,0.1%,37.6%,32.6%,9.4%,Not Available,Not Available,Not Available,1.4%,9.4%,2.9%,Not Available,3.2%,Not Available,Not Available,7.3%
Market LINKS,,2019-01-12,2019-01-21,European,1007,Provided,Not Available,0.1%,37.9%,27.1%,8.5%,Not Available,Not Available,Not Available,Not Available,10.0%,1.3%,Not Available,6.5%,Not Available,Not Available,8.7%
AFIS,,2019-01-14,2019-01-19,European,1010,Provided,Not Available,0.1%,32.9%,34.6%,4.7%,Not Available,Not Available,Not Available,Not Available,11.0%,1.4%,2%,1.4%,Not Available,Not Available,12.0%
Trend,24 hours,2019-01-10,2019-01-17,National,1008,Provided,Not Available,1%,36%,34%,7%,Not Available,Not Available,Not Available,Not Available,14%,3%,Not Available,4%,Not Available,Not Available,Not Available
Alpha Research,,2018-12-14,2018-12-18,European,1027,Provided,Not Available,1%,33%,31%,6%,Not Available,Not Available,Not Available,Not Available,11%,4%,Not Available,6%,Not Available,Not Available,Not Available
Exacta,,2018-12-10,2018-12-17,National,1000,Estimated/Assumed,Not Available,1%,36%,32%,6%,Not Available,Not Available,Not Available,Not Available,8%,2%,2%,4%,Not Available,Not Available,13%
Market LINKS,,2018-11-16,2018-11-25,National,1005,Provided,Not Available,1%,34%,31%,6%,Not Available,Not Available,Not Available,Not Available,7%,2%,Not Available,6%,Not Available,Not Available,Not Available
